Name,DisplayName,CoolVolumeCC,Storage,Notes,,
V_PhuLocTransport,V_PhuLocTransport,8000,,Source: Optimize Vietnam Daklak Province.xls (Cold Chain Equipment Tab). This volume is a sum of the cold box and vaccine carrier capacities reported for this location. In cases when cold box and vaccine carrier volumes were unspecified, 27.7L and 1.3L were used, respectively. These volumes were taken from the Copy of VPAT_Vietnam_28Jul10.xls spreadsheet. 
V_EapukTransport,V_EapukTransport,35000,,Source: Optimize Vietnam Daklak Province.xls (Cold Chain Equipment Tab). This volume is a sum of the cold box and vaccine carrier capacities reported for this location. In cases when cold box and vaccine carrier volumes were unspecified, 27.7L and 1.3L were used, respectively. These volumes were taken from the Copy of VPAT_Vietnam_28Jul10.xls spreadsheet. 
V_EakaoTransport,V_EakaoTransport,8000,,Assumption: Eakao has no vaccine carriers or cold boxes. Eakao uses a motorbike to transport vaccines so we assume it has a vaccine carrier on the back of the motorbike (4L),,
V_TanThanhTransport,V_TanThanhTransport,8000,,Assumption: TanThanh has no vaccine carriers or cold boxes. Tanthanh uses a motorbike to distribut vaccines so we assume that it has one vaccine carrier on the back of the motorbike (4L),,
V_KimSonTransport,V_KimSonTransport,144000,,Source: Optimize Vietnam Ninh Binh Province.xls (Cold Chain Equipment Tab). This volume is a sum of the cold box and vaccine carrier capacities reported for this location. In cases when cold box and vaccine carrier volumes were unspecified, 27.7L and 1.3L were used, respectively. These volumes were taken from the Copy of VPAT_Vietnam_28Jul10.xls spreadsheet. 
V_TamDiepTransport,V_TamDiepTransport,37000,,Source: Optimize Vietnam Ninh Binh Province.xls (Cold Chain Equipment Tab). This volume is a sum of the cold box and vaccine carrier capacities reported for this location. In cases when cold box and vaccine carrier volumes were unspecified, 27.7L and 1.3L were used, respectively. These volumes were taken from the Copy of VPAT_Vietnam_28Jul10.xls spreadsheet. 
V_KimMyTransport,V_KimMyTransport,14000,,Source: Optimize Vietnam Ninh Binh Province.xls (Cold Chain Equipment Tab). This volume is a sum of the cold box and vaccine carrier capacities reported for this location. In cases when cold box and vaccine carrier volumes were unspecified, 27.7L and 1.3L were used, respectively. These volumes were taken from the Copy of VPAT_Vietnam_28Jul10.xls spreadsheet. 
V_QuangThienTransport,V_QuangThienTransport,20000,,Source: Optimize Vietnam Ninh Binh Province.xls (Cold Chain Equipment Tab). This volume is a sum of the cold box and vaccine carrier capacities reported for this location. In cases when cold box and vaccine carrier volumes were unspecified, 27.7L and 1.3L were used, respectively. These volumes were taken from the Copy of VPAT_Vietnam_28Jul10.xls spreadsheet. 
V_BacSonTransport,V_BacSonTransport,18000,,Source: Optimize Vietnam Ninh Binh Province.xls (Cold Chain Equipment Tab). This volume is a sum of the cold box and vaccine carrier capacities reported for this location. In cases when cold box and vaccine carrier volumes were unspecified, 27.7L and 1.3L were used, respectively. These volumes were taken from the Copy of VPAT_Vietnam_28Jul10.xls spreadsheet. 
V_YenSonTransport,V_YenSonTransport,12000,,Source: Optimize Vietnam Ninh Binh Province.xls (Cold Chain Equipment Tab). This volume is a sum of the cold box and vaccine carrier capacities reported for this location. In cases when cold box and vaccine carrier volumes were unspecified, 27.7L and 1.3L were used, respectively. These volumes were taken from the Copy of VPAT_Vietnam_28Jul10.xls spreadsheet. 
V_ThanhSonTransport,V_ThanhSonTransport,208000,,Source: Optimize Vietnam Phu Tho Province.xls (Cold Chain Equipment Tab). This volume is a sum of the cold box and vaccine carrier capacities reported for this location. In cases when cold box and vaccine carrier volumes were unspecified, 27.7L and 1.3L were used, respectively. These volumes were taken from the Copy of VPAT_Vietnam_28Jul10.xls spreadsheet. 
V_LamThaoTransport,V_LamThaoTransport,104000,,Source: Optimize Vietnam Phu Tho Province.xls (Cold Chain Equipment Tab). This volume is a sum of the cold box and vaccine carrier capacities reported for this location. In cases when cold box and vaccine carrier volumes were unspecified, 27.7L and 1.3L were used, respectively. These volumes were taken from the Copy of VPAT_Vietnam_28Jul10.xls spreadsheet. 
V_VoMieuTransport,V_VoMieuTransport,16000,,Source: Optimize Vietnam Phu Tho Province.xls (Cold Chain Equipment Tab). This volume is a sum of the cold box and vaccine carrier capacities reported for this location. In cases when cold box and vaccine carrier volumes were unspecified, 27.7L and 1.3L were used, respectively. These volumes were taken from the Copy of VPAT_Vietnam_28Jul10.xls spreadsheet. 
V_TanMinhTransport,V_TanMinhTransport,16000,,Source: Optimize Vietnam Phu Tho Province.xls (Cold Chain Equipment Tab). This volume is a sum of the cold box and vaccine carrier capacities reported for this location. In cases when cold box and vaccine carrier volumes were unspecified, 27.7L and 1.3L were used, respectively. These volumes were taken from the Copy of VPAT_Vietnam_28Jul10.xls spreadsheet. 
V_XuanHuyTransport,V_XuanHuyTransport,8000,,Source: Optimize Vietnam Phu Tho Province.xls (Cold Chain Equipment Tab). This volume is a sum of the cold box and vaccine carrier capacities reported for this location. In cases when cold box and vaccine carrier volumes were unspecified, 27.7L and 1.3L were used, respectively. These volumes were taken from the Copy of VPAT_Vietnam_28Jul10.xls spreadsheet. 
V_HungSonTransport,V_HungSonTransport,12000,,Source: Optimize Vietnam Phu Tho Province.xls (Cold Chain Equipment Tab). This volume is a sum of the cold box and vaccine carrier capacities reported for this location. In cases when cold box and vaccine carrier volumes were unspecified, 27.7L and 1.3L were used, respectively. These volumes were taken from the Copy of VPAT_Vietnam_28Jul10.xls spreadsheet. 
V_VinhLinhTransport,V_VinhLinhTransport,125000,,Source: Optimize Vietnam Quang Tri Province.xls indicates Vinh Linh has 2 motorbikes for vaccine collection. We assume each motorbike uses transport capacity similar to Eakao and Eapuk (x2).,,
V_HuongHoaTransport,V_HuongHoaTransport,125000,,Assumption: HuongHoa has no cold box or vaccine carrier listed in the Optimize Vietnam Quang Tri Province.xls datasheet, so we assume it has the same transport capacity as the other sampled district in Quang Tri province.,
V_HoXaTransport,V_HoXaTransport,16000,,Source: Optimize Vietnam Quang Tri Province.xls (Cold Chain Equipment Tab). This volume is a sum of the cold box and vaccine carrier capacities reported for this location. In cases when cold box and vaccine carrier volumes were unspecified, 27.7L and 1.3L were used, respectively. These volumes were taken from the Copy of VPAT_Vietnam_28Jul10.xls spreadsheet. 
V_VinhThuyTransport,V_VinhThuyTransport,12000,,Source: Optimize Vietnam Quang Tri Province.xls (Cold Chain Equipment Tab). This volume is a sum of the cold box and vaccine carrier capacities reported for this location. In cases when cold box and vaccine carrier volumes were unspecified, 27.7L and 1.3L were used, respectively. These volumes were taken from the Copy of VPAT_Vietnam_28Jul10.xls spreadsheet. 
V_HucTransport,V_HucTransport,12000,,Source: Optimize Vietnam Quang Tri Province.xls (Cold Chain Equipment Tab). This volume is a sum of the cold box and vaccine carrier capacities reported for this location. In cases when cold box and vaccine carrier volumes were unspecified, 27.7L and 1.3L were used, respectively. These volumes were taken from the Copy of VPAT_Vietnam_28Jul10.xls spreadsheet. 
V_HuongPhungTransport,V_HuongPhungTransport,8000,,Source: Optimize Vietnam Quang Tri Province.xls (Cold Chain Equipment Tab). This volume is a sum of the cold box and vaccine carrier capacities reported for this location. In cases when cold box and vaccine carrier volumes were unspecified, 27.7L and 1.3L were used, respectively. These volumes were taken from the Copy of VPAT_Vietnam_28Jul10.xls spreadsheet. 
V_NinhBinhTransport,V_NinhBinhTransport,220000,,Source: Optimize Vietnam Quang Tri Province.xls (Cold Chain Equipment Tab). This volume is a sum of the cold box and vaccine carrier capacities reported for this location. In cases when cold box and vaccine carrier volumes were unspecified, 27.7L and 1.3L were used, respectively. These volumes were taken from the Copy of VPAT_Vietnam_28Jul10.xls spreadsheet. 
V_PhuThoTransport,V_PhuThoTransport,2248000,,Source: Optimize Vietnam Quang Tri Province.xls (Cold Chain Equipment Tab). This volume is a sum of the cold box and vaccine carrier capacities reported for this location. In cases when cold box and vaccine carrier volumes were unspecified, 27.7L and 1.3L were used, respectively. These volumes were taken from the Copy of VPAT_Vietnam_28Jul10.xls spreadsheet. 
V_QuangTriTransport,V_QuangTriTransport,138500,,Source: Optimize Vietnam Quang Tri Province.xls (Cold Chain Equipment Tab). This volume is a sum of the cold box and vaccine carrier capacities reported for this location. In cases when cold box and vaccine carrier volumes were unspecified, 27.7L and 1.3L were used, respectively. These volumes were taken from the Copy of VPAT_Vietnam_28Jul10.xls spreadsheet. 
