Name,DisplayName,Shawns display names,Secondary Packaging,Abbreviation,Vaccine presentation,Method  of administration,Doses per vial,Packed vol/dose(cc) of vaccine,Packed vol/dose(cc) of diluent,Vaccine price/vial,Vaccine price/dose,Price Units,Price Year,Doses/person,LifetimeFreezerMonths,LifetimeCoolerMonths,LifetimeRoomTempMonths,LifetimeOpenMonths,RandomKey,Notes,Link,Manufacturer
DTP_Sanofi_1Dose,DTP Sanofi 1 Dose,D.T. COQ/D.T.P. 1 Dose ,20 Ampoule Carton,DTP,Liquid,Intramuscular,1,20.5,0,,,USD,,1,0.002,36,0.001,1,10031,,http://www.who.int/immunization_standards/vaccine_quality/PQ_94_dtp_1_dose_sanofi_pasteur/en/index.html,Sanofi Pasteur
DTP_Sanofi_10Dose,DTP Sanofi 10 Dose,D.T. COQ/D.T.P. 10 Dose ,10 Vial Carton,DTP,Liquid,Intramuscular,10,2.46,0,,,USD,,1,0.002,36,0.001,1,10032,,http://www.who.int/immunization_standards/vaccine_quality/PQ_95_dtp_10_dose_vial_sanofi_pasteur/en/,Sanofi Pasteur
DTP_SerumIndia_1Dose,DTP SII 1 Dose,DTP Adsorbed 1 Dose ,50 Ampoule Carton,DTP,Liquid,Intramuscular,1,15.715,0,,,USD,,1,0.002,24,0.001,1,10033,,http://www.who.int/immunization_standards/vaccine_quality/pq_125_dtp_1dose_sii/en/index.html,Serum Institute of India
DTP_SerumIndia_10Dose,DTP SII 10 Dose,DTP Adsorbed 10 Dose ,50 Vial Carton,DTP,Liquid,Intramuscular,10,2.611,0,,,USD,,1,0.002,24,0.001,1,10034,,http://www.who.int/immunization_standards/vaccine_quality/pq_126_dtp_10dose_sii/en/index.html,Serum Institute of India
DTP_SerumIndia_20Dose,DTP SII 20 Dose,DTP Adsorbed 20 Dose ,25 Vial Carton,DTP,Liquid,Intramuscular,20,2.433,0,,,USD,,1,0.002,24,0.001,1,10035,,http://www.who.int/immunization_standards/vaccine_quality/pq_127_dtp_20dose_sii/en/index.html,Serum Institute of India
DTPHib_WHO_Shipping_Guide_1Dose,DTP-Hib WHO 1 Dose,DTP Hib Generic 1 Dose,1 Vial,DTP-Hib,Liquid,Intramuscular,1,45,0,,,USD,,1,0.002,24,0.001,0.01,10036,,,WHO Shipping Guidelines
DTPHib_WHO_Shipping_Guide_10Dose,DTP-Hib WHO 10 Dose,DTP Hib Generic 10 Dose,1 Vial,DTP-Hib,Liquid,Intramuscular,10,12,0,,,USD,,1,0.002,24,0.001,1,10037,,,WHO Shipping Guidelines
DTPHib_Novartis_10Dose,DTP-Hib Novartis 10 Dose,Quattvaxem DTPHib 10 Dose ,1 Vial 10 Dose (Dtp) + 1 Vial 10 Dose (Hib),DTP-Hib,Liquid,Intramuscular,10,2.4,0,,,USD,,1,0.002,24,0.001,1,10038,,http://www.who.int/immunization_standards/vaccine_quality/PQ_38_DTPHib_Novartis_10_dose/en/,Novartis
DTPHib_Sanofi_10Dose,DTP-Hib Sanofi 10 Dose,TETRAct-HIB DTPHib 10 Dose ,1 Vial 10 Dose (Dtp) + 1 Vial 10 Dose (Hib),DTP-Hib,Liquid + Lyophilized,Intramuscular,10,12.39,0,,,USD,,1,0.002,36,0.001,0.01,10039,,http://www.who.int/immunization_standards/vaccine_quality/PQ_97_dtphib_10_dose_sanofi_pasteur/en/,Sanofi Pasteur
DTPHib_Sanofi_1Dose,DTP-Hib Sanofi 1 Dose,TETRAct-HIB DTPHib 1 Dose ,10 Vials 1 Dose (Dtp) + 10 Ampoules 1 Dose (Hib),DTP-Hib,Liquid + Lyophilized,Intramuscular,1,44.72,0,,,USD,,1,0.002,36,0.001,0.01,10040,No longer Produced,http://www.who.int/immunization_standards/vaccine_quality/PQ_98_dtphib_1_dose_sanofi_pasteur/en/index.html,Sanofi Pasteur
DTPHib_SerumIndia_1Dose,DTP-Hib SII 1 Dose,DTPHib 1 Dose ,Single Dose Carton (Containing 1 Vail Of Hib Component And One Ampoule Of Dtp Component),DTP-Hib,Liquid + Lyophilized,Intramuscular,1,39.2,0,,,USD,,1,0.002,24,0.001,0.01,10041,,http://www.who.int/immunization_standards/vaccine_quality/pq_217_dtpwhib_1dose_sii/en/index.html,Serum Institute of India
DTPHepB_WHO_Shipping_Guide_2Dose,DTP-HepB WHO 2 Dose,DTP - HepB Generic 2 Dose,1 Vial,DTP-HepB,Liquid,Intramuscular or Subcutaneous,2,6,0,,,USD,,1,0.002,24,0.001,1,10042,,,WHO Shipping Guidelines
DTPHepB_WHO_Shipping_Guide_10Dose,DTP-HepB WHO 10 Dose,DTP - HepB Generic 10 Dose,1 Vial,DTP-HepB,Liquid,Intramuscular or Subcutaneous,10,3,0,,,USD,,1,0.002,24,0.001,1,10043,,,WHO Shipping Guidelines
DTPHepB_BioFarma_5Dose,DTP-HepB BioFarma 5 Dose,DTP - Hep B 5 Dose ,10 Vial Carton,DTP-HepB,Liquid,Intramuscular or Subcutaneous,5,4.2,0,,,USD,,1,0.002,24,0.001,1,10044,,http://www.who.int/immunization_standards/vaccine_quality/11_dtphep/en/index.html,Bio Farma
DTPHepB_BioFarma_10Dose,DTP-HepB BioFarma 10 Dose,DTP - Hep B 10 Dose ,10 Vial Carton,DTP-HepB,Liquid,Intramuscular or Subcutaneous,10,2.1,0,,,USD,,1,0.002,24,0.001,1,10045,,http://www.who.int/immunization_standards/vaccine_quality/12_dtphep/en/index.html,Bio Farma
DTPHepB_SerumIndia_20Dose,DTP-HepB SII 20 Dose,DTP-HepB Vaccine Adsorbed 20 Dose ,25 Vial Carton,DTP-HepB,Liquid,Intramuscular,20,2.433,0,,,USD,,1,0.002,24,0.001,1,10046,,http://www.who.int/immunization_standards/vaccine_quality/pq_130_dtphepb_20dose_sii/en/index.html,Serum Institute of India
DTPHepB_SerumIndia_10Dose,DTP-HepB SII 20 Dose,DTP-HepB Vaccine Adsorbed 10 Dose ,50 Vial Carton,DTP-HepB,Liquid,Intramuscular,20,2.611,0,,,USD,,1,0.002,24,0.001,1,10047,,http://www.who.int/immunization_standards/vaccine_quality/pq_129_dtphep_10dose_sii/en/index.html,Serum Institute of India
DTPHepB_SerumIndia_1Dose,DTP-HepB SII 20 Dose,DTP-HepB Vaccine Adsorbed 1 Dose ,50 Ampoule Carton,DTP-HepB,Liquid,Intramuscular,20,15.715,0,,,USD,,1,0.002,24,0.001,1,10048,,http://www.who.int/immunization_standards/vaccine_quality/pq_128_dtphep_1dose_sii/en/index.html,Serum Institute of India
DTPHepBHib_WHO_Shipping_Guide_1Dose,DTP-HepB-Hib WHO 1 Dose,DTP HepB Hib Generic 1 Dose,1 Vial,DTP-HepB-Hib,Liquid,Intramuscular,1,22,0,,,USD,,1,0.002,36,0.001,0.01,10049,,,WHO Shipping Guidelines
DTPHepBHib_WHO_Shipping_Guide_2Dose,DTP-HepB-Hib WHO 2 Dose,DTP HepB Hib Generic 2 Dose,1 Vial,DTP-HepB-Hib,Liquid,Intramuscular,2,11,0,,,USD,,1,0.002,36,0.001,0.01,10050,,,WHO Shipping Guidelines
DTPHepBHib_Crucell_2mL_1Dose,DTP-HepB-Hib Crucell 1 Dose,Quinvaxem Pentavalent  1 Dose (Crucell / Berna Biotech),50 Vial Carton,DTP-HepB-Hib,Liquid,Intramuscular,1,10.28,0,,,USD,,1,0.002,36,0.001,0.01,10051,,http://www.who.int/immunization_standards/vaccine_quality/07_dtphephib/en/index.html,2 mL
DTPHepBHib_Crucell_3mL_1Dose,DTP-HepB-Hib Crucell 1 Dose,Quinvaxem Pentavalent  1 Dose (Crucell / Green Cross Corp.),50 Vial Carton,DTP-HepB-Hib,Liquid,Intramuscular,1,13.14,0,,,USD,,1,0.002,36,0.001,0.01,10052,,http://www.who.int/immunization_standards/vaccine_quality/07_dtphephib/en/index.html,3mL
DTPHepBHib_Crucell_Shingal_3mL_1Dose,DTP-HepB-Hib Crucell 1 Dose,Quinvaxem Pentavalent  1 Dose (Crucell / Berna Shingal),50 Vial Carton,DTP-HepB-Hib,Liquid,Intramuscular,1,12.85,0,,,USD,,1,0.002,36,0.001,0.01,10053,,http://www.who.int/immunization_standards/vaccine_quality/07_dtphephib/en/index.html,3mL
DTPHepBHib_BioELimited_1Dose,DTP-HepB-Hib BioE 1 Dose,DTP-HepB-Hib 1 Dose ,48 Vial Box,DTP-HepB-Hib,Liquid,Intramuscular,1,14.6,0,,,USD,,1,0.002,24,0.001,0.01,10054,,http://www.who.int/immunization_standards/vaccine_quality/pq_253_dtp_hepb_hib_liquid_1dose_biologicale/en/index.html,Biological E Limited
DTPHepBHib_BioELimited_Liq-Lyph-1Dose,DTP-HepB-Hib BioE 1 Dose,DTP-HepB-Hib 1 Dose Liquid+Lyphilized ,24 Vial Box,DTP-HepB-Hib,Liquid + Lyophilized,Intramuscular,1,29.36,0,,,USD,,1,0.002,24,0.001,0.01,10055,,http://www.who.int/immunization_standards/vaccine_quality/pq_248_dtp_hepb_hib_1dose_biologicale/en/index.html,Biological E Limited
DTPHepBHib_BioELimited_10Dose,DTP-HepB-Hib BioE 1 Dose,DTP-HepB-Hib 10 Dose ,One Carton Containing 15 Vials Of 10 Dose Dtwp-Rhepb Vaccine And 15 Vials Of 10 Dose Hib Vaccine,DTP-HepB-Hib,Liquid,Intramuscular,1,2.9,0,,,USD,,1,0.002,24,0.001,1,10056,,http://www.who.int/immunization_standards/vaccine_quality/pq_254_dtp_hepb_hib_liquid_10dose_biologicale/en/index.html,Biological E Limited
DTPHepBHib_BioELimited_Liq-Lyph-10Dose,DTP-HepB-Hib BioE 1 Dose,DTP-HepB-Hib 10 Dose Liquid+Lyphilized ,One Carton Containing 15 Vials Of 10 Dose Dtwp-Rhepb Vaccine And 15 Vials Of 10 Dose Hib Vaccine,DTP-HepB-Hib,Liquid + Lyophilized,Intramuscular,1,7.8,0,,,USD,,1,0.002,24,0.001,0.01,10057,,http://www.who.int/immunization_standards/vaccine_quality/pq_249_dtp_hepb_hib_10dose_biologicale/en/index.html,Biological E Limited
DTPHepBHib_LG_1Carton_1Dose,DTP-HepB-Hib LG 1 Dose,Euforvac-Hib Inj. DTP-HepB-Hib 1 Dose ,Carton (Containing 1 Vial Of Hib Component And 1 Vial Of Dtpw-Hepb Component),DTP-HepB-Hib,Liquid + Lyophilized,Intramuscular,1,87.2,0,,,USD,,1,0.002,36,0.001,0.01,10058,,http://www.who.int/immunization_standards/vaccine_quality/pq_257_dtp_hepb_hib_1dose_lg/en/index.html,LG Life Sciences Ltd.
DTPHepBHib_LG_5Carton1Dose,DTP-HepB-Hib LG 1 Dose,Euforvac-Hib Inj. DTP-HepB-Hib 1 Dose ,Carton (Containing 5 Vials Of Hib Component And 5 Vials Of Dtpw-Hepb Component),DTP-HepB-Hib,Liquid + Lyophilized,Intramuscular,1,87.2,0,,,USD,,1,0.002,36,0.001,0.01,10059,,http://www.who.int/immunization_standards/vaccine_quality/pq_257_dtp_hepb_hib_1dose_lg/en/index.html,LG Life Sciences Ltd.
DTPHepBHib_SerumIndia_10Dose,DTP-HepB-Hib SII 10 Dose,DTP-HepB-Hib 10 Dose ,50 Vial Carton,DTP-HepB-Hib,Liquid,Intramuscular,10,2.5,0,,,USD,,1,0.002,24,0.001,1,10060,,http://www.who.int/immunization_standards/vaccine_quality/pq_226_pentaliquid_10dose_sii/en/index.html,Serum Institute of India
DTPHepBHib_SerumIndia_1Dose,DTP-HepB-Hib SII 1 Dose,DTP-HepB-Hib 1 Dose ,50 Vial Carton,DTP-HepB-Hib,Liquid,Intramuscular,1,26.1,0,,,USD,,1,0.002,24,0.001,0.01,10061,,http://www.who.int/immunization_standards/vaccine_quality/pq_224_pentaliquid_1dose_sii/en/index.html,Serum Institute of India
DTPHepBHib_SerumIndia_Lyo_10Dose,DTP-HepB-Hib SII 10 Dose,DTP-HepB-Hib Lyophilised 10 Dose ,Carton (Containing 150 Vials Of Hib Component And 150 Vials Of Dtpw-Hebb Component),DTP-HepB-Hib,Liquid + Lyophilized,Intramuscular,10,5.1,0,,,USD,,1,0.002,24,0.001,0.01,10062,,http://www.who.int/immunization_standards/vaccine_quality/pq_205_dtp_hepb_hib_10dose_sii/en/index.html,Serum Institute of India
DTPHepBHib_SerumIndia_Lyo_2Dose,DTP-HepB-Hib SII 2 Dose,DTP-HepB-Hib Lyophilised 2 Dose ,Carton (Containing 200 Vials Of Hib Component And 200 Vials Of Dtpw-Hebb Component),DTP-HepB-Hib,Liquid + Lyophilized,Intramuscular,2,19.6,0,,,USD,,1,0.002,24,0.001,0.01,10063,,http://www.who.int/immunization_standards/vaccine_quality/pq_204_dtp_hepb_hib_2dose_sii/en/index.html,Serum Institute of India
DTPHepBHib_SerumIndia_2Dose,DTP-HepB-Hib SII 2 Dose,DTP-HepB-Hib 2 Dose ,1 Vial,DTP-HepB-Hib,Liquid,Intramuscular,2,12.1,0,,,USD,,1,0.002,24,0.001,0.01,10064,,http://www.who.int/immunization_standards/vaccine_quality/pq_225_pentaliquid_2dose_sii/en/index.html,Serum Institute of India
DTPHepBHib_SerumIndia_Lyo_1Dose,DTP-HepB-Hib SII 1 Dose,DTP-HepB-Hib Lyophilised 1 Dose ,Carton (Containing 200 Vials Of Hib Component And 200 Vials Of Dtpw-Hebb Component),DTP-HepB-Hib,Liquid + Lyophilized,Intramuscular,1,39.2,0,,,USD,,1,0.002,24,0.001,0.01,10065,,http://www.who.int/immunization_standards/vaccine_quality/pq_195_dtp_hepb_hib_1dose_sii/en/index.html,Serum Institute of India
DTP_GSK_1Dose,DTP GSK 1 Dose,Boostrix DTP 1 Dose ,100 Vial Carton,DTP,Liquid,Intramuscular,1,9.7,0,,,USD,,1,0.002,36,0.001,0.01,10066,,http://www.who.int/immunization_standards/vaccine_quality/pq_265_dTaP_1dose_gsk/en/index.html,GSK
Hib_Liquid_WHO_Shipping_Guide_1Dose,Hib WHO 1 Dose,Hib Liquid Generic 1 Dose,1 Vial,Hib,Liquid,Intramuscular,1,15,0,,,USD,,1,0.002,36,0.001,0.01,10067,,,WHO Shipping Guidelines
Hib_Liquid_WHO_Shipping_Guide_10Dose,Hib WHO 10 Dose,Hib Liquid Generic 10 Dose,1 Vial,Hib,Liquid,Intramuscular,10,2.5,0,,,USD,,1,0.002,36,0.001,1,10068,,,WHO Shipping Guidelines
Hib_Lyo_WHO_Shipping_Guide_1Dose,Hib WHO 1 Dose,Hib Lyophilised Generic 1 Dose,1 Vial,Hib,Lyophilized,Intramuscular,1,13,0,,,USD,,1,0.002,36,0.001,0.01,10069,,,WHO Shipping Guidelines
Hib_Lyo_WHO_Shipping_Guide_2Dose,Hib WHO 2 Dose,Hib Lyophilised Generic 2 Dose,1 Vial,Hib,Lyophilized,Intramuscular,2,6,0,,,USD,,1,0.002,36,0.001,0.01,10070,,,WHO Shipping Guidelines
Hib_Lyo_WHO_Shipping_Guide_10Dose,Hib WHO 10 Dose,Hib Lyophilised Generic 10 Dose,1 Vial,Hib,Lyophilized,Intramuscular,10,2.5,0,,,USD,,1,0.002,36,0.001,0.01,10071,,,WHO Shipping Guidelines
Hib_CGEB_1Dose,Hib CGEB 1 Dose,Quimi-Hib 1 Dose ,25 Vial Carton,Hib,Liquid,Intramuscular,1,5,0,,,USD,,1,0.002,36,0.001,0.01,10072,,http://www.who.int/immunization_standards/vaccine_quality/PQ_198_Hib_1_dose_Vial_CIGB/en/index.html,Center for Genetic Eng. And Biotech
Hib_Novartis_1Dose,Hib Novartis 1 Dose,Vaxmem HIB 1 Dose ,10 Vial Carton,Hib,Liquid,Intramuscular,1,13.4,0,,,USD,,1,0.002,36,0.001,0.01,10073,,http://www.who.int/immunization_standards/vaccine_quality/PQ_35_hib_Novartis_1_dose/en/,Novartis
Hib_Sanofi_1Dose,Hib Sanofi 1 Dose,Act-HIB 1 Dose ,10 Vial Carton + 10 Ampoules Of 0.5Ml Diluent In A Separate Box,Hib,Lyophilized + 0.4 % Sodium Chloride Diluent,Intramuscular or Deep Subcutaneous,1,12.66,0,,,USD,,1,0.002,36,0.001,0.01,10074,,http://www.who.int/immunization_standards/vaccine_quality/PQ_110_hib_1_dose_sanofi_pasteur/en/index.html,Sanofi Pasteur
Hib_SerumIndia_1Dose,Hib SII 1 Dose,Hib 1 Dose ,50 Vial Carton + 50 Ampoule Carton Of Diluent,Hib,Lyophilized + 0.4 % Sodium Chloride Diluent,Intramuscular,1,26.11,0,,,USD,,1,0.002,36,0.001,0.01,10075,,http://www.who.int//immunization_standards/vaccine_quality/pq_186_Hib_1_dose_vial_sii/en/index.html,Serum Institute of India
HepA_GSK_1Carton_1Dose,HepA GSK 1 Dose, Havrix™ 720 Junior 1 Dose ,1 Vial Carton,HepA,Liquid,Intramuscular,1,57.7,0,,,USD,,1,0.002,36,0.001,0.01,10076,,http://www.who.int/immunization_standards/vaccine_quality/pq_267_hepa_1dose_gsk/en/index.html,GSK
HepA_GSK_10Carton_1Dose,HepA GSK 1 Dose, Havrix™ 720 Junior 1 Dose ,10 Vial Carton,HepA,Liquid,Intramuscular,1,11.5,0,,,USD,,1,0.002,36,0.001,0.01,10077,,http://www.who.int/immunization_standards/vaccine_quality/pq_267_hepa_1dose_gsk/en/index.html,GSK
HepA_GSK_25Carton_1Dose,HepA GSK 1 Dose, Havrix™ 720 Junior 1 Dose ,25 Vial Carton,HepA,Liquid,Intramuscular,1,11.3,0,,,USD,,1,0.002,36,0.001,0.01,10078,,http://www.who.int/immunization_standards/vaccine_quality/pq_267_hepa_1dose_gsk/en/index.html,GSK
HepA_GSK_100Carton_1Dose,HepA GSK 1 Dose, Havrix™ 720 Junior 1 Dose ,100 Vial Carton,HepA,Liquid,Intramuscular,1,9.6,0,,,USD,,1,0.002,36,0.001,0.01,10079,,http://www.who.int/immunization_standards/vaccine_quality/pq_267_hepa_1dose_gsk/en/index.html,GSK
